evidence_id,assertion_id,subject_id,predicate,object_entity_id,object_literal,assertion_status,assertion_method,confidence,passage_id,passage_text,source_id,source_title,edition_id,locator_id,locator_label,stable_url,relation,basis,directness,dataset_version,data_license,citation
chs:evidence:period-pre-reform-system,chs:assertion:period-pre-reform-system,chs:period:north-song-pre-yuanfeng,uses_separated_official_identity_layers,,《宋史·职官志》概括宋初受授有官、职、差遣之别，官偏于禄秩叙位，差遣治事。,reviewed,manual_curation,high,chs:passage:song-shi-161-system,故三省、六曹、二十四司，类以他官主判，虽有正官，非别敕不治本司事。其官人受授之别，则有官、有职、有差遣。官以寓禄秩、叙位著，职以待文学之选，而别为差遣以治内外之事。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:yuanfeng-reform-start,chs:assertion:yuanfeng-reform-start,chs:reform:yuanfeng-office-reform,reorganizes_official_system,,元丰三年开始详定并下诏更新官制，罢去省、台、寺、监领空名者并上《寄禄格》。,reviewed,source_transcription,high,chs:passage:song-shi-161-reform,元豐三年，以摹本赐群臣，乃置局中书，命翰林学士张璪等详定。八月，下诏肇新官制，省、臺、寺、监领空名者一切罢去，而易之以阶。九月，详定所上《寄禄格》。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-reform,《宋史》卷161《职官一》序，第3段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:period-yuanyou-career,chs:assertion:period-yuanyou-career-context,chs:period:yuanyou,contains_documented_career_changes,,苏轼传在元祐时期连续记载朝奉郎、知登州、中书舍人、翰林学士、龙图阁学士与知杭州等变化。,reviewed,source_transcription,high,chs:passage:song-shi-338-yuanyou,神宗崩，哲宗立，复朝奉郎、知登州，召为礼部郎中。迁起居舍人。元祐元年，轼以七品服入侍延和，即赐银绯，迁中书舍人。寻除翰林学士。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-yuanyou,《宋史》卷338苏轼传元祐任官诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:period-shaosheng-punitive,chs:assertion:period-shaosheng-punitive-context,chs:period:shaosheng-huizong-opening,contains_documented_punitive_changes,,苏轼传在绍圣初连续记载知英州未至、贬宁远军节度副使、惠州安置与再贬琼州别驾等变化。,reviewed,source_transcription,high,chs:passage:song-shi-338-late,绍圣初，御史论轼掌内外制日，所作词命，以为讥斥先朝。遂以本官知英州，寻降一官，未至，贬宁远军节度副使，惠州安置。居三年，又贬琼州别驾，居昌化。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-late,《宋史》卷338苏轼传绍圣以后诸段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:su-shi-identity,chs:assertion:su-shi-identity,chs:person:su-shi,has_name_and_courtesy_name,,"{""name"":""苏轼"",""courtesyName"":""子瞻"",""origin"":""眉州眉山""}",reviewed,source_transcription,high,chs:passage:song-shi-338-identity,苏轼，字子瞻，眉州眉山人。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-identity,《宋史》卷338苏轼传首段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:pre-reform-rank-song-shi,chs:assertion:pre-reform-rank-principle,chs:institution-version:official-identity-pre-reform,distinguishes_rank_from_duty,,北宋前期正官可主要关联禄秩与叙位，实际治事另见差遣。,reviewed,scholarly_interpretation,high,chs:passage:song-shi-161-system,故三省、六曹、二十四司，类以他官主判，虽有正官，非别敕不治本司事。其官人受授之别，则有官、有职、有差遣。官以寓禄秩、叙位著，职以待文学之选，而别为差遣以治内外之事。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:pre-reform-rank-gong,chs:assertion:pre-reform-rank-principle,chs:institution-version:official-identity-pre-reform,distinguishes_rank_from_duty,,北宋前期正官可主要关联禄秩与叙位，实际治事另见差遣。,reviewed,scholarly_interpretation,high,chs:passage:gong-2019-abstract-short,北宋前期，“官”变成了“禄”。,chs:source:gong-2019-salary-office,龚延明《宋代文官寄禄官制度》,chs:edition:gong-2019-journal-page,chs:locator:gong-2019-abstract,龚延明《宋代文官寄禄官制度》摘要,https://xb-zsb.hbu.edu.cn/CN/10.3969/j.issn.1005-6378.2019.06.001,supports,secondary_scholarship,indirect,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:prefectural-government,chs:assertion:prefectural-government-principle,chs:institution-version:prefectural-government-northern-song,uses_zhizhou_and_tongpan,,《宋史·职官志》称外官用文臣知州，并设通判以贰之。,reviewed,source_transcription,high,chs:passage:song-shi-161-local,外官，则惩五代藩镇专恣，颇用文臣知州，復设通判以贰之。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-dali-case,chs:assertion:usage-dali-pingshi,chs:title-usage:dali-pingshi-pre-reform,appears_as_pre_reform_official_component,,苏轼凤翔任命中，大理评事与签书凤翔府判官并列；结合宋初制度概括，不能只凭名称断定他在大理寺实际任事。,reviewed,scholarly_interpretation,medium,chs:passage:song-shi-338-fengxiang,除大理评事、签书凤翔府判官。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-338-fengxiang,《宋史》卷338苏轼传“除大理评事”段,https://zh.wikisource.org/zh-hans/宋史/卷338#苏轼,supports,explicit_statement,direct,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
chs:evidence:usage-dali-system,chs:assertion:usage-dali-pingshi,chs:title-usage:dali-pingshi-pre-reform,appears_as_pre_reform_official_component,,苏轼凤翔任命中，大理评事与签书凤翔府判官并列；结合宋初制度概括，不能只凭名称断定他在大理寺实际任事。,reviewed,scholarly_interpretation,medium,chs:passage:song-shi-161-system,故三省、六曹、二十四司，类以他官主判，虽有正官，非别敕不治本司事。其官人受授之别，则有官、有职、有差遣。官以寓禄秩、叙位著，职以待文学之选，而别为差遣以治内外之事。,chs:source:song-shi,《宋史》,chs:edition:song-shi-wikisource-zh-hans,chs:locator:song-shi-161-system,《宋史》卷161《职官一》序，第2段,https://zh.wikisource.org/zh-hans/宋史/卷161#序,supports,contextual_inference,indirect,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
