id,person_id,person_name,original_date,normalized_start,normalized_end,date_precision,action_types,raw_text,component_ids,component_spans,title_usage_ids,place_version_ids,service_statuses,editorial_status,dataset_version,schema_version,data_license,citation
chs:appointment:su-shi-fengxiang,chs:person:su-shi,苏轼,制策入三等后（《宋史》传记顺序）,,,ordered_only,appoint,除大理评事、签书凤翔府判官,chs:component:su-shi-fengxiang-dali|chs:component:su-shi-fengxiang-qianshu,大理评事|签书凤翔府判官,chs:title-usage:dali-pingshi-pre-reform|chs:title-usage:qianshu-fengxiang-panguan,chs:place-version:fengxiang-fu-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-hangzhou-tongpan,chs:person:su-shi,苏轼,熙宁四年上下文,1071-01-01,1071-12-31,year,unknown,通判杭州,chs:component:su-shi-hangzhou-tongpan-title|chs:component:su-shi-hangzhou-tongpan-place,通判|杭州,chs:title-usage:tongpan-northern-song,chs:place-version:hangzhou-northern-song,inferred,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-mizhou,chs:person:su-shi,苏轼,在通判杭州之后,,,ordered_only,transfer,徙知密州,chs:component:su-shi-mizhou-title|chs:component:su-shi-mizhou-place,知密州|密州,chs:title-usage:zhizhou-northern-song,chs:place-version:mizhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-xuzhou,chs:person:su-shi,苏轼,在知密州之后,,,ordered_only,transfer,徙知徐州,chs:component:su-shi-xuzhou-title|chs:component:su-shi-xuzhou-place,知徐州|徐州,chs:title-usage:zhizhou-northern-song,chs:place-version:xuzhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-huzhou,chs:person:su-shi,苏轼,在知徐州之后、台狱之前,,,ordered_only,transfer,徙知湖州,chs:component:su-shi-huzhou-title|chs:component:su-shi-huzhou-place,知湖州|湖州,chs:title-usage:zhizhou-northern-song,chs:place-version:huzhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-huangzhou,chs:person:su-shi,苏轼,去岁十二月二十九日,,,day,punitive_appoint|place_under_restriction,责授检校尚书水部员外郎充黄州团练副使，本州安置，不得签书公事,chs:component:su-shi-huangzhou-unresolved-rank|chs:component:su-shi-huangzhou-tuanlian|chs:component:su-shi-huangzhou-place|chs:component:su-shi-huangzhou-anzhi|chs:component:su-shi-huangzhou-restriction,检校尚书水部员外郎|黄州团练副使|黄州|本州安置|不得签书公事,chs:title-usage:tuanlian-fushi-northern-song|chs:title-usage:anzhi-northern-song,chs:place-version:huangzhou-northern-song,attested,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-chaofeng-zhidengzhou,chs:person:su-shi,苏轼,神宗崩，哲宗立,1085-01-01,1085-12-31,year,restore|appoint,复朝奉郎、知登州,chs:component:su-shi-chaofeng-rank|chs:component:su-shi-dengzhou-title|chs:component:su-shi-dengzhou-place,朝奉郎|知登州|登州,chs:title-usage:chaofeng-lang-yuanyou|chs:title-usage:zhizhou-northern-song,chs:place-version:dengzhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-zhongshu-sheren,chs:person:su-shi,苏轼,元祐元年,1086-01-01,1086-12-31,year,promote,迁中书舍人,chs:component:su-shi-zhongshu-sheren,中书舍人,chs:title-usage:zhongshu-sheren-yuanyou,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-hanlin-xueshi,chs:person:su-shi,苏轼,寻,,,ordered_only,appoint,寻除翰林学士,chs:component:su-shi-hanlin-xueshi,翰林学士,chs:title-usage:hanlin-xueshi-yuanyou,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-hangzhou-second,chs:person:su-shi,苏轼,元祐四年,1089-01-01,1089-12-31,year,appoint,拜龙图阁学士、知杭州,chs:component:su-shi-hangzhou-second-longtu|chs:component:su-shi-hangzhou-second-title|chs:component:su-shi-hangzhou-second-place,龙图阁学士|知杭州|杭州,chs:title-usage:longtu-xueshi-yuanyou|chs:title-usage:zhizhou-northern-song,chs:place-version:hangzhou-northern-song,attested,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-yingzhou-not-assumed,chs:person:su-shi,苏轼,绍圣初,1094-01-01,1094-12-31,year,appoint|demote,以本官知英州，寻降一官，未至,chs:component:su-shi-yingzhou-unresolved-rank|chs:component:su-shi-yingzhou-title|chs:component:su-shi-yingzhou-place|chs:component:su-shi-yingzhou-not-arrived,本官|知英州|英州|未至,chs:title-usage:zhizhou-northern-song,chs:place-version:yingzhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-huizhou-punitive,chs:person:su-shi,苏轼,绍圣初，英州未至之后,1094-01-01,1094-12-31,year,punitive_appoint|place_under_restriction,贬宁远军节度副使，惠州安置,chs:component:su-shi-huizhou-ningyuan|chs:component:su-shi-huizhou-place|chs:component:su-shi-huizhou-anzhi,宁远军节度副使|惠州|安置,chs:title-usage:ningyuan-jiedu-fushi-shaosheng|chs:title-usage:anzhi-northern-song,chs:place-version:huizhou-northern-song,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:su-shi-qiongzhou-biejia,chs:person:su-shi,苏轼,惠州居三年后,1097-01-01,1097-12-31,year,punitive_appoint,又贬琼州别驾,chs:component:su-shi-qiongzhou-biejia,琼州别驾,chs:title-usage:qiongzhou-biejia-shaosheng,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:wang-anshi-canzhi-zhengshi,chs:person:wang-anshi,王安石,熙宁二年二月,1069-01-01,1069-12-31,year,appoint,拜参知政事,chs:component:wang-anshi-canzhi-zhengshi,参知政事,chs:title-usage:canzhi-zhengshi-pre-yuanfeng,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:sima-guang-chancellor,chs:person:sima-guang,司马光,元祐元年,1086-01-01,1086-12-31,year,appoint,拜尚书左仆射兼门下侍郎,chs:component:sima-guang-shangshu-zuo-pushe|chs:component:sima-guang-menxia-shilang,尚书左仆射|门下侍郎,chs:title-usage:shangshu-zuo-pushe-yuanfeng|chs:title-usage:menxia-shilang-yuanfeng,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
chs:appointment:zhang-dun-menxia-shilang,chs:person:zhang-dun,章惇,元丰五年,1082-01-01,1082-12-31,year,recall|appoint,召拜门下侍郎,chs:component:zhang-dun-menxia-shilang,门下侍郎,chs:title-usage:menxia-shilang-yuanfeng,,,reviewed,0.3.0-research.1,0.3.0,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.0-research.1，2026-07-13。
