id,preferred_name,aliases,usage_versions,editorial_status,dataset_version
chs:title:dali-pingshi,大理评事,大理评事|大理評事|dali pingshi,1,reviewed,0.1.0-research.1
chs:title:qianshu-panguan,签书判官,签书判官|签书某府判官|簽書判官|qianshu panguan,1,reviewed,0.1.0-research.1
chs:title:tongpan,通判,通判|通判某州|tongpan,1,reviewed,0.1.0-research.1
chs:title:zhizhou,知州,知州|知某州|知某州军州事|知某州軍州事|zhizhou,1,reviewed,0.1.0-research.1
chs:title:tuanlian-fushi,团练副使,团练副使|團練副使|tuanlian fushi,1,reviewed,0.1.0-research.1
chs:title:anzhi,安置,安置|本州安置|安置|anzhi,1,reviewed,0.1.0-research.1
chs:title:chaofeng-lang,朝奉郎,朝奉郎|chaofeng lang,1,reviewed,0.1.0-research.1
chs:title:zhongshu-sheren,中书舍人,中书舍人|中書舍人|zhongshu sheren,1,reviewed,0.1.0-research.1
chs:title:hanlin-xueshi,翰林学士,翰林学士|翰林學士|hanlin xueshi,1,reviewed,0.1.0-research.1
chs:title:longtu-xueshi,龙图阁学士,龙图阁学士|龍圖閣學士|longtu ge xueshi,1,reviewed,0.1.0-research.1
chs:title:ningyuan-jiedu-fushi,宁远军节度副使,宁远军节度副使|寧遠軍節度副使|ningyuan jun jiedu fushi,1,reviewed,0.1.0-research.1
chs:title:qiongzhou-biejia,琼州别驾,琼州别驾|瓊州別駕|qiongzhou biejia,1,reviewed,0.1.0-research.1
chs:title:taishi,太师,太师|太師|taishi,1,reviewed,0.1.0-research.1
chs:title:taifu,太傅,太傅|taifu,1,reviewed,0.1.0-research.1
chs:title:taibao,太保,太保|taibao,1,reviewed,0.1.0-research.1
chs:title:taiwei,太尉,太尉|taiwei,1,reviewed,0.1.0-research.1
chs:title:situ,司徒,司徒|situ,1,reviewed,0.1.0-research.1
chs:title:sikong,司空,司空|sikong,1,reviewed,0.1.0-research.1
chs:title:tongpingzhangshi,同平章事,同平章事|同平章事|tong pingzhang shi,1,reviewed,0.1.0-research.1
chs:title:canzhi-zhengshi,参知政事,参知政事|參知政事|canzhi zhengshi,1,reviewed,0.1.0-research.1
chs:title:shizhong,侍中,侍中|shizhong,1,reviewed,0.1.0-research.1
chs:title:menxia-shilang,门下侍郎,门下侍郎|門下侍郎|menxia shilang,1,reviewed,0.1.0-research.1
chs:title:zuo-jianyi-dafu,左谏议大夫,左谏议大夫|左諫議大夫|zuo jianyi dafu,1,reviewed,0.1.0-research.1
chs:title:zuo-sijian,左司谏,左司谏|左司諫|zuo sijian,1,reviewed,0.1.0-research.1
chs:title:zuo-zhengyan,左正言,左正言|zuo zhengyan,1,reviewed,0.1.0-research.1
chs:title:jishizhong,给事中,给事中|給事中|jishizhong,1,reviewed,0.1.0-research.1
chs:title:qiju-lang,起居郎,起居郎|qiju lang,1,reviewed,0.1.0-research.1
chs:title:fubao-lang,符宝郎,符宝郎|符寶郎|fubao lang,1,reviewed,0.1.0-research.1
chs:title:zhongshu-ling,中书令,中书令|中書令|zhongshu ling,1,reviewed,0.1.0-research.1
chs:title:zhongshu-shilang,中书侍郎,中书侍郎|中書侍郎|zhongshu shilang,1,reviewed,0.1.0-research.1
chs:title:qiju-sheren,起居舍人,起居舍人|qiju sheren,1,reviewed,0.1.0-research.1
chs:title:you-jianyi-dafu,右谏议大夫,右谏议大夫|右諫議大夫|you jianyi dafu,1,reviewed,0.1.0-research.1
chs:title:you-sijian,右司谏,右司谏|右司諫|you sijian,1,reviewed,0.1.0-research.1
chs:title:you-zhengyan,右正言,右正言|you zhengyan,1,reviewed,0.1.0-research.1
chs:title:jianzheng-guan,检正官,检正官|檢正官|jianzheng guan,1,reviewed,0.1.0-research.1
chs:title:shangshu-ling,尚书令,尚书令|尚書令|shangshu ling,1,reviewed,0.1.0-research.1
chs:title:shangshu-zuo-pushe,尚书左仆射,尚书左仆射|尚書左僕射|左仆射|shangshu zuo pushe,1,reviewed,0.1.0-research.1
chs:title:shangshu-you-pushe,尚书右仆射,尚书右仆射|尚書右僕射|右仆射|shangshu you pushe,1,reviewed,0.1.0-research.1
